epoch,train_loss,train_accuracy,val_loss,val_accuracy,gradient_norm,epoch_time_sec,peak_memory_mb
1,1.463337,0.462289,1.104945,0.6,3.493741,43.43,1338.62
2,0.998242,0.645689,1.289127,0.5922,2.796522,42.39,1338.62
3,0.786684,0.721444,0.78338,0.739,2.366608,42.82,1338.62
4,0.659352,0.772622,0.878453,0.7122,2.065008,42.9,1338.62
5,0.583422,0.800222,1.474083,0.6314,1.871755,42.87,1338.62
6,0.516022,0.8206,0.565836,0.8104,1.724979,44.39,1338.62
7,0.469382,0.8368,0.815794,0.7482,1.632143,45.86,1338.62
8,0.417166,0.860489,0.456376,0.8446,1.524913,45.94,1338.62
9,0.375871,0.872289,0.457143,0.8482,1.471232,46.42,1338.62
10,0.341981,0.882733,0.412914,0.8704,1.43208,46.26,1338.62
11,0.300633,0.897111,0.384811,0.8736,1.410935,46.01,1338.62
12,0.265541,0.908733,0.367453,0.88,1.399941,45.88,1338.62
13,0.230654,0.9208,0.299295,0.9032,1.401324,45.55,1338.62
14,0.198502,0.931422,0.318203,0.9024,1.405952,45.62,1338.62
15,0.159317,0.945067,0.304139,0.9064,1.365541,43.15,1338.62
16,0.133874,0.954933,0.309872,0.9098,1.383995,46.39,1338.62
17,0.108854,0.962511,0.283854,0.9192,1.359051,45.5,1338.62
18,0.087492,0.970244,0.270738,0.9236,1.278507,44.55,1338.62
19,0.071357,0.976911,0.275535,0.9244,1.225492,44.48,1338.62
20,0.066162,0.9784,0.275709,0.9254,1.226719,45.0,1338.62
